Class,Home State,Virginia County,Home Zip,Home Country,High School Attended                                        ,High School  CSZ                             
2022,GA,,30078,,Brookwood High School                                       ,"Snellville, GA 30078-2249                    "
2022,NY,,11211,,                                                            ,                                             
2022,NC,,28173,,Weddington High School                                      ,"Matthews, NC 28104                           "
2022,FL,,32789,,Trinity Preparatory School                                  ,"Winter Park, FL 32792-9399                   "
2022,WA,,99169,,Ritzville High School                                       ,"Ritzville, WA 99169-1674                     "
2022,NJ,,7928,,Pingry School                                               ,"Basking Ridge, NJ 07920-2709                 "
2022,CT,,6105,,Taft School                                                 ,"Watertown, CT 06795-2130                     "
2022,NC,,27858,,Oakwood School The                                          ,"Greenville, NC 27834                         "
2022,MD,,21228,,Mount Saint Joseph High School                              ,"Baltimore, MD 21229-4102                     "
2022,CT,,6840,,New Canaan High School                                      ,"New Canaan, CT 06840-6626                    "
2022,,,,PALESTINIAN TERRITORIES,                                                            ,                                             
2022,VA,HENRICO,23059,,Saint Christophers School                                   ,"Richmond, VA 23226                           "
2022,NJ,,7006,,West Essex Senior High School                               ,"N Caldwell, NJ 07006-4758                    "
2022,,,,MOROCCO,UWC Changshu                                                ,                                             
2022,MD,,20706,,Annapolis Senior High School                                ,"Annapolis, MD 21401-7205                     "
2022,ID,,83274,,                                                            ,                                             
2022,VA,SPOTSYLVANIA,22553,,Courtland High School                                       ,"Spotsylvania, VA 22553-1803                  "
2022,GA,,30088,,Georgia Cyber Academy                                       ,"Atlanta, GA 30349-5974                       "
2022,CA,,94118,,Branson School                                              ,"Ross, CA 94957                               "
2022,NY,,10451,,Dr Richard Izquierdo Health and S                           ,"Bronx, NY 10456-5443                         "
2022,VA,RICHMOND CITY,23226,,Collegiate School                                           ,"Richmond, VA 23229-7709                      "
2022,,,,PAKISTAN,Nixor College                                               ,                                             
2022,MD,,20853,,Gonzaga College High School                                 ,"Washington, DC 20001-1400                    "
2022,VA,FAIRFAX COUNTY,22307,,Bishop Ireton High School                                   ,"Alexandria, VA 22314-4896                    "
2022,MD,,21013,,Loyola Blakefield High School                               ,"Towson, MD 21030                             "
2022,NC,,28210,,South Mecklenburg High School                               ,"Charlotte, NC 28210-7609                     "
2022,LA,,70808,,Dunham School                                               ,"Baton Rouge, LA 70810                        "
2022,GA,,30294,,Stockbridge High School                                     ,"Stockbridge, GA 30281-2605                   "
2022,VA,CHESTERFIELD,23836,,Jamestown High School                                       ,"Williamsburg, VA 23185                       "
2022,FL,,32207,,The Bolles School                                           ,"Jacksonville, FL 32217-3430                  "
2022,MA,,1803,,Buckingham Browne And Nichols Sch                           ,"Cambridge, MA 02138-5504                     "
2022,MD,,21212,,Towson High School                                          ,"Towson, MD 21286                             "
2022,OH,,43082,,Olentangy Orange High School                                ,"Lewis Center, OH 43035                       "
2022,,,,KENYA,                                                            ,                                             
2022,IL,,60563,,Benet Academy                                               ,"Lisle, IL 60532-2393                         "
2022,NC,,27707,,Guilford High School                                        ,"Guilford, CT 06437-1834                      "
2022,NC,,28209,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     "
2022,AL,,36608,,Ums Wright Preparatory School                               ,"Mobile, AL 36607-3140                        "
2022,NY,,11724,,Cold Spring Harbor High School                              ,"Cold Spring Hrbr, NY 11724-1799              "
2022,TX,,77024,,Kinkaid School                                              ,"Houston, TX 77024-7504                       "
2022,GA,,30339,,The Westminster Schools                                     ,"Atlanta, GA 30327-2428                       "
2022,PA,,18015,,Saucon Valley Senior Hs                                     ,"Hellertown, PA 18055-2499                    "
2022,CA,,92014,,Pacific Ridge School                                        ,"Carlsbad, CA 92009-3094                      "
2022,SC,,29464,,Ashley Hall                                                 ,"Charleston, SC 29403-5821                    "
2022,FL,,33410,,Benjamin School                                             ,"Palm Bch Gdns, FL 33418-6737                 "
2022,PA,,19426,,Spring-Ford High School                                     ,"Royersford, PA 19468-1829                    "
2022,TX,,75214,,Woodrow Wilson High School                                  ,"Dallas, TX 75214-4518                        "
2022,NC,,28211,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     "
2022,NC,,28270,,Providence High School                                      ,"Charlotte, NC 28270-0330                     "
2022,TX,,78412,,Richard King High School                                    ,"Corpus Christi, TX 78412-3317                "
2022,VA,ARLINGTON,22201,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    "
2022,TN,,37027,,David Lipscomb High School                                  ,"Nashville, TN 37204-3903                     "
2022,NC,,28078,,Cannon School                                               ,"Concord, NC 28027-7575                       "
2022,VA,HENRY,24165,,Magna Vista High School                                     ,"Ridgeway, VA 24148-4114                      "
2022,AL,,36106,,Montgomery Academy                                          ,"Montgomery, AL 36106-2736                    "
2022,TX,,75228,,Tuloso-Midway High School                                   ,"Corpus Christi, TX 78410                     "
