Class,Sex,Degree1,Major1,Major2,Minor1,Minor2,Johnson Scholar,Social Org,Varsity sport1           ,Varsity sport2           ,Varsity sport3           ,Home State,Virginia County,Home Zip,Home Country,High School Attended                                        ,High School  CSZ                             
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Soccer              ,                         ,                         ,IL,,60563,,Benet Academy                                               ,"Lisle, IL 60532-2393                         "
2022,F,BA,UNDEC,,,,,Chi Omega,                         ,                         ,                         ,NC,,27707,,Guilford High School                                        ,"Guilford, CT 06437-1834                      "
2022,F,BA,UNDEC,,,,JOHNSON,Kappa Alpha Theta,                         ,                         ,                         ,NC,,28209,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,AL,,36608,,Ums Wright Preparatory School                               ,"Mobile, AL 36607-3140                        "
2022,M,BA,UNDEC,,,,,Kappa Sigma,Vars Lacrosse            ,                         ,                         ,NY,,11724,,Cold Spring Harbor High School                              ,"Cold Spring Hrbr, NY 11724-1799              "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,Vars Field Hockey        ,                         ,                         ,TX,,77024,,Kinkaid School                                              ,"Houston, TX 77024-7504                       "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,GA,,30339,,The Westminster Schools                                     ,"Atlanta, GA 30327-2428                       "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,Vars Cross Country       ,Vars Track/Field In      ,Vars Track/Field Out     ,PA,,18015,,Saucon Valley Senior Hs                                     ,"Hellertown, PA 18055-2499                    "
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,Vars Soccer              ,                         ,                         ,CA,,92014,,Pacific Ridge School                                        ,"Carlsbad, CA 92009-3094                      "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,SC,,29464,,Ashley Hall                                                 ,"Charleston, SC 29403-5821                    "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Volleyball          ,                         ,                         ,FL,,33410,,Benjamin School                                             ,"Palm Bch Gdns, FL 33418-6737                 "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,PA,,19426,,Spring-Ford High School                                     ,"Royersford, PA 19468-1829                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,TX,,75214,,Woodrow Wilson High School                                  ,"Dallas, TX 75214-4518                        "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Swimming/Diving     ,                         ,                         ,NC,,28211,,Myers Park High School                                      ,"Charlotte, NC 28209-1716                     "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NC,,28270,,Providence High School                                      ,"Charlotte, NC 28270-0330                     "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,Vars Swimming/Diving     ,                         ,                         ,TX,,78412,,Richard King High School                                    ,"Corpus Christi, TX 78412-3317                "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,VA,ARLINGTON,22201,,Georgetown Visitation Prep Sch                              ,"Washington, DC 20007-2728                    "
2022,M,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,TN,,37027,,David Lipscomb High School                                  ,"Nashville, TN 37204-3903                     "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,NC,,28078,,Cannon School                                               ,"Concord, NC 28027-7575                       "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,VA,HENRY,24165,,Magna Vista High School                                     ,"Ridgeway, VA 24148-4114                      "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,AL,,36106,,Montgomery Academy                                          ,"Montgomery, AL 36106-2736                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,TX,,75228,,Tuloso-Midway High School                                   ,"Corpus Christi, TX 78410                     "
2022,F,BA,UNDEC,,,,,Chi Omega,Vars Cross Country       ,Vars Track/Field In      ,Vars Track/Field Out     ,VA,ALBEMARLE,22940,,Saint Anne's-Belfield                                       ,"Charlottesvle, VA 22903-1716                 "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Swimming/Diving     ,                         ,                         ,KY,,40014,,Deerfield Academy                                           ,"Deerfield, MA 01342-5002                     "
2022,F,BA,UNDEC,,,,,Delta Society,                         ,                         ,                         ,MA,,2476,,Middlesex School                                            ,"Concord, MA 01742-9122                       "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,                         ,                         ,                         ,AL,,35213,,Mountain Brook High School                                  ,"Mountain Brk, AL 35223-1420                  "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,SC,,29464,,Porter-Gaud School                                          ,"Charleston, SC 29407-7524                    "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,VA,HENRICO,23060,,Hermitage High School                                       ,"Richmond, VA 23228-1999                      "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,                         ,                         ,                         ,GA,,30327,,Rabun Gap-Nacoochee School                                  ,"Rabun Gap, GA 30568                          "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,VA,POQUOSON CITY,23662,,Poquoson High School                                        ,"Poquoson, VA 23662-2050                      "
2022,F,BA,UNDEC,,,,,Chi Omega,                         ,                         ,                         ,VA,FAIRFAX COUNTY,22153,,Pope John Paul The Great Cath                               ,"Dumfries, VA 22026                           "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,Vars Wrestling           ,                         ,                         ,VA,ARLINGTON,22207,,Yorktown High School                                        ,"Arlington, VA 22207-1707                     "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,                         ,                         ,                         ,VA,HENRICO,23229,,Hermitage High School                                       ,"Richmond, VA 23228-1999                      "
2022,M,BA,UNDEC,,,,,Phi Gamma Delta,Vars Soccer              ,                         ,                         ,MI,,48895,,Fowlerville High School                                     ,"Fowlerville, MI 48836-9808                   "
2022,M,BA,UNDEC,,,,,Phi Kappa Psi,                         ,                         ,                         ,IN,,46260,,Glenwood Senior High School                                 ,"Chatham, IL 62629-8083                       "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NJ,,8003,,Bishop Eustace Preparatory Sch                              ,"Pennsauken, NJ 08109-4798                    "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,CA,,91024,,Mayfield Senior School                                      ,"Pasadena, CA 91105-2439                      "
2022,M,BA,UNDEC,,,,,Pi Kappa Phi,Vars Football            ,                         ,                         ,VA,FAIRFAX COUNTY,22101,,McLean High School                                          ,"McLean, VA 22101-4305                        "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NC,,27006,,Forsyth Country Day School                                  ,"Lewisville, NC 27023-8232                    "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,CA,,92118,,Coronado High School                                        ,"Coronado, CA 92118-2113                      "
2022,F,BA,UNDEC,,,,,Delta Society,                         ,                         ,                         ,VA,ALEXANDRIA CITY,22314,,ACPS/T.C. Williams High School                              ,"Alexandria, VA 22302-3001                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,VA,HENRICO,23229,,Cape Henry Collegiate School                                ,"Virginia Bch, VA 23454-2306                  "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,GA,,30064,,Walker School                                               ,"Marietta, GA 30062-2404                      "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Soccer              ,                         ,                         ,FL,,33434,,Saint Andrews School                                        ,"Boca Raton, FL 33434-4455                    "
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,Vars Lacrosse            ,                         ,                         ,OH,,45069,,Lakota East High School                                     ,"Liberty Township, OH 45044                   "
2022,M,BA,UNDEC,,,,,Pi Kappa Phi,Vars Football            ,                         ,                         ,VA,LOUDOUN,20132,,                                                            ,                                             
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,NC,,28226,,Charlotte Latin School                                      ,"Charlotte, NC 28277-8695                     "
2022,F,BA,UNDEC,,,,,Chi Omega,Vars Riding(Equestr)     ,                         ,                         ,GA,,30309,,New School                                                  ,"Atlanta, GA 30307-2543                       "
2022,M,BA,UNDEC,,,,,Independent,Vars Football            ,                         ,                         ,VA,RADFORD CITY,24141,,Radford High School                                         ,"Radford, VA 24141-1554                       "
2022,M,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,MA,,2718,,Stoughton High School                                       ,"Stoughton, MA 02072-2325                     "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,OR,,97504,,Cascade Christian High School                               ,"Medford, OR 97504                            "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,TN,,37664,,Dobyns Bennett High School                                  ,"Kingsport, TN 37664-2658                     "
2022,M,BA,UNDEC,,,,,Kappa Sigma,Vars Wrestling           ,                         ,                         ,NJ,,7440,,Seton Hall Preparatory School                               ,"West Orange, NJ 07052-4716                   "
2022,M,BA,UNDEC,,,,,Phi Gamma Delta,Vars Soccer              ,                         ,                         ,FL,,33186,,John A Ferguson Senior Hs                                   ,"Miami, FL 33185                              "
2022,M,BA,UNDEC,,,,,Sigma Chi,Vars Football            ,                         ,                         ,CT,,6824,,Fairfield Warde High School                                 ,"Fairfield, CT 06825-2050                     "
2022,M,BA,UNDEC,,,,,Independent,Vars Baseball            ,                         ,                         ,PA,,19333,,Conestoga High School                                       ,"Berwyn, PA 19312-1260                        "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,MA,,1527,,Saint Marys High School                                     ,"Worcester, MA 01610-1912                     "
2022,M,BA,UNDEC,,,,,Kappa Sigma,Vars Lacrosse            ,                         ,                         ,NY,,10708,,Bronxville High School                                      ,"Bronxville, NY 10708-4829                    "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,TX,,75205,,Saint Marks School Of Texas                                 ,"Dallas, TX 75230-4047                        "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,VA,VIRGINIA BEACH CITY,23454,,Ocean Lakes High School                                     ,"Virginia Beach, VA 23454-6878                "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,TX,,75225,,Highland Park High School                                   ,"Dallas, TX 75205-1070                        "
2022,M,BA,UNDEC,,,,,Kappa Alpha Order,                         ,                         ,                         ,PA,,19333,,Haverford School                                            ,"Haverford, PA 19041-1337                     "
2022,M,BA,UNDEC,,,,,Phi Kappa Psi,Vars Wrestling           ,                         ,                         ,PA,,19446,,North Penn High School                                      ,"Lansdale, PA 19446-4718                      "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NC,,27606,,New Visions Charter High School F                           ,"Bronx, NY 10463-5079                         "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,SC,,29201,,Heathwood Hall Episcopal Sch                                ,"Columbia, SC 29201-5130                      "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,NE,,68135,,Lewis Central High School                                   ,"Council Bluffs, IA 51503-7899                "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Basketball          ,                         ,                         ,OH,,45066,,Springboro High School                                      ,"Springboro, OH 45066-1524                    "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,WV,,25404,,Spring Mills High School                                    ,"Martinsburg, WV 25404-7534                   "
2022,M,BA,UNDEC,,,,,Kappa Sigma,                         ,                         ,                         ,NY,,14223,,Nichols School                                              ,"Buffalo, NY 14216-3602                       "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,AL,,35242,,Westminster School At Oak Mt                                ,"Birmingham, AL 35242                         "
2022,M,BA,UNDEC,,,,,Kappa Sigma,Vars Swimming/Diving     ,                         ,                         ,MD,,21093,,McDonogh School                                             ,"Owings Mills, MD 21117-1009                  "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,CA,,94611,,Episcopal High School                                       ,"Alexandria, VA 22302-3004                    "
2022,M,BA,UNDEC,,,,JOHNSON,Sigma Nu,                         ,                         ,                         ,MA,,2038,,Loomis Chaffee School                                       ,"Windsor, CT 06095-3028                       "
2022,F,BA,UNDEC,,,,,Independent,Vars Riding(Equestr)     ,                         ,                         ,IN,,46375,,The Culver Academies                                        ,"Culver, IN 46511-1234                        "
2022,M,BA,UNDEC,,,,,Pi Kappa Alpha,                         ,                         ,                         ,GA,,31220,,Stratford Academy                                           ,"Macon, GA 31220-3938                         "
2022,M,BA,UNDEC,,,,,Kappa Alpha Order,Vars Cross Country       ,                         ,                         ,GA,,30305,,Pace Academy                                                ,"Atlanta, GA 30327-2648                       "
2022,M,BA,UNDEC,,,,,Independent,Vars Track/Field In      ,Vars Track/Field Out     ,                         ,NC,,28104,,Weddington High School                                      ,"Matthews, NC 28104                           "
2022,M,BA,UNDEC,,,,,Pi Kappa Phi,Vars Soccer              ,                         ,                         ,NJ,,7670,,Tenafly High School                                         ,"Tenafly, NJ 07670                            "
2022,M,BA,UNDEC,,,,,Phi Kappa Psi,Vars Wrestling           ,                         ,                         ,DC,,20016,,Sidwell Friends School                                      ,"Washington, DC 20016-2999                    "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,TX,,77005,,Episcopal High School                                       ,"Bellaire, TX 77401-3002                      "
2022,M,BA,UNDEC,,,,JOHNSON,Phi Gamma Delta,                         ,                         ,                         ,KY,,42104,,Bowling Green High School                                   ,"Bowling Green, KY 42104-3395                 "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,WV,,25705,,Cabell-Midland High School                                  ,"Ona, WV 25545-9712                           "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Lacrosse            ,                         ,                         ,NJ,,7090,,Westfield High School                                       ,"Westfield, NJ 07090-3302                     "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,KS,,66208,,Saint Georges School                                        ,"Middletown, RI 02842-5963                    "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Swimming/Diving     ,                         ,                         ,CT,,6903,,Westhill High School                                        ,"Stamford, CT 06902-1295                      "
2022,F,BA,UNDEC,,,,,Delta Society,                         ,                         ,                         ,NY,,11725,,Saint John Baptist Diocesan HS                              ,"West Islip, NY 11795-4928                    "
2022,F,BA,UNDEC,,,,JOHNSON,Chi Omega,                         ,                         ,                         ,AR,,72712,,Haas Hall Academy                                           ,"Fayetteville, AR 72703-3500                  "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,AR,,72022,,Arkansas School For Mathematic                              ,"Hot Springs, AR 71901                        "
2022,M,BA,UNDEC,,,,,Chi Psi,                         ,                         ,                         ,SC,,29206,,A C Flora High School                                       ,"Forest Acres, SC 29204                       "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Lacrosse            ,                         ,                         ,NY,,11724,,Cold Spring Harbor High School                              ,"Cold Spring Hrbr, NY 11724-1799              "
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,Vars Tennis              ,                         ,                         ,OR,,97302,,                                                            ,                                             
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,                         ,                         ,                         ,VA,VIRGINIA BEACH CITY,23451,,Norfolk Academy                                             ,"Norfolk, VA 23502-5512                       "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,                         ,                         ,                         ,WV,,26003,,Wheeling Park High School                                   ,"Wheeling, WV 26003                           "
2022,F,BA,UNDEC,,,,,Independent,Vars Track/Field In      ,Vars Track/Field Out     ,                         ,IL,,60010,,Barrington High School                                      ,"Barrington, IL 60010-3015                    "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,NC,,28211,,Thacher School The                                          ,"Ojai, CA 93023-8304                          "
2022,M,BA,UNDEC,,,,,Sigma Chi,                         ,                         ,                         ,CA,,91106,,Polytechnic School                                          ,"Pasadena, CA 91106-4042                      "
2022,F,BA,UNDEC,,,,,Delta Society,Vars Lacrosse            ,                         ,                         ,NY,,11771,,Oyster Bay High School                                      ,"Oyster Bay, NY 11771-2402                    "
2022,M,BA,UNDEC,,,,,Kappa Sigma,                         ,                         ,                         ,MD,,21117,,Boys' Latin School Of Maryland                              ,"Baltimore, MD 21210-1241                     "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,WI,,53045,,Brookfield Central High School                              ,"Brookfield, WI 53005-5138                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,AR,,72205,,                                                            ,                                             
2022,M,BA,UNDEC,,,,,Phi Gamma Delta,                         ,                         ,                         ,LA,,70118,,Isidore Newman School                                       ,"New Orleans, LA 70115-5616                   "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,FL,,33629,,T R Robinson High School                                    ,"Tampa, FL 33616-1617                         "
2022,M,BA,UNDEC,,,,,Pi Kappa Alpha,                         ,                         ,                         ,PA,,17603,,The Hill School                                             ,"Pottstown, PA 19464-5791                     "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Soccer              ,                         ,                         ,VA,ALBEMARLE,22901,,Saint Anne's-Belfield                                       ,"Charlottesvle, VA 22903-1716                 "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,Vars Track/Field In      ,Vars Track/Field Out     ,                         ,LA,,70808,,University Laboratory School of L                           ,"Baton Rouge, LA 70803-0001                   "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,TX,,79423,,Lubbock High School                                         ,"Lubbock, TX 79401                            "
2022,F,BA,UNDEC,,,,,Chi Omega,                         ,                         ,                         ,NJ,,7928,,Chatham High School                                         ,"Chatham, NJ 07928-1838                       "
2022,M,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,VA,FAUQUIER,20198,,Fauquier High School                                        ,"Warrenton, VA 20186-3038                     "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Tennis              ,                         ,                         ,LA,,70471,,Mount Carmel Academy                                        ,"New Orleans, LA 70124-2341                   "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,CO,,80111,,Cherry Creek High School                                    ,"Englewood, CO 80111-1306                     "
2022,F,BA,UNDEC,,,,,Independent,Vars Lacrosse            ,                         ,                         ,IN,,46239,,North Central High School                                   ,"Indianapolis, IN 46240-2345                  "
2022,M,BA,UNDEC,,,,,Phi Kappa Psi,Vars Baseball            ,                         ,                         ,MD,,21136,,Boys' Latin School Of Maryland                              ,"Baltimore, MD 21210-1241                     "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Volleyball          ,                         ,                         ,GA,,30339,,Lovett School                                               ,"Atlanta, GA 30327-3009                       "
2022,M,BA,UNDEC,,,,,Lambda Chi Alpha,                         ,                         ,                         ,VA,HANOVER,23192,,Fuqua School                                                ,"Farmville, VA 23901-0328                     "
2022,F,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,DE,,19803,,Archmere Academy                                            ,"Claymont, DE 19703-0130                      "
2022,F,BA,UNDEC,,,,,Pi Beta Phi,                         ,                         ,                         ,TN,,38112,,Hutchison School                                            ,"Memphis, TN 38119-5314                       "
2022,M,BA,UNDEC,,,,JOHNSON,Independent,                         ,                         ,                         ,WA,,98684,,Union High School                                           ,"Camas, WA 98607                              "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,FL,,33018,,Belleville Public Hs                                        ,"Belleville, NJ 07109-1807                    "
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,Vars Football            ,                         ,                         ,VA,FAIRFAX COUNTY,22101,,McLean High School                                          ,"McLean, VA 22101-4305                        "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,WY,,83014,,Jackson Hole High School                                    ,"Jackson, WY 83001-0568                       "
2022,M,BA,UNDEC,,,,,Phi Gamma Delta,Vars Track/Field In      ,Vars Track/Field Out     ,                         ,OK,,74019,,Lincoln Christian School                                    ,"Tulsa, OK 74116-2131                         "
2022,M,BA,UNDEC,,,,,Phi Gamma Delta,Vars Track/Field In      ,Vars Track/Field Out     ,                         ,TX,,75013,,Episcopal School Of Dallas                                  ,"Dallas, TX 75229-6217                        "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,                         ,                         ,                         ,SC,,29464,,Porter-Gaud School                                          ,"Charleston, SC 29407-7524                    "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,                         ,                         ,                         ,VA,ROCKBRIDGE,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     "
2022,F,BA,UNDEC,,,,,Kappa Alpha Theta,                         ,                         ,                         ,VA,,24450,,Rockbridge County High School                               ,"Lexington, VA 24450-3718                     "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,Vars Basketball          ,                         ,                         ,PA,,15241,,Upper Saint Clair High School                               ,"Uppr St Clair, PA 15241-2331                 "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,NJ,,7069,,Oak Knoll School Of Holy Child                              ,"Summit, NJ 07901-2499                        "
2022,M,BA,UNDEC,,,,,Phi Zeta Delta,                         ,                         ,                         ,VA,ALBEMARLE,22903,,Western Albemarle High School                               ,"Crozet, VA 22932-3405                        "
2022,M,BA,UNDEC,,,,,Sigma Chi,Vars Football            ,                         ,                         ,CA,,90274,,Palos Verdes Peninsula H S                                  ,"Rllng Hls Est, CA 90274-2300                 "
2022,M,BA,UNDEC,,,,,Pi Kappa Alpha,Vars Track/Field In      ,                         ,                         ,WV,,25314,,George Washington High School                               ,"Charleston, WV 25314-2342                    "
2022,F,BA,UNDEC,,,,,Independent,                         ,                         ,                         ,MD,,21060,,Laurel High School                                          ,"Laurel, MD 20707-9264                        "
2022,F,BA,UNDEC,,,,,Kappa Kappa Gamma,Vars Lacrosse            ,                         ,                         ,VA,HENRICO,23229,,Collegiate School                                           ,"Richmond, VA 23229-7709                      "
2022,F,BA,UNDEC,,,,,Alpha Delta Pi,                         ,                         ,                         ,SC,,29710,,Clover High School                                          ,"Clover, SC 29710-8551                        "
